"DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN" "DATE" "PROVINCE" "REGION" "NEW_IN"
"353" 2020-04-16 "Antwerpen" "Flanders" 48 2020-04-16 "Brussels" "Brussels" 46 2020-04-16 "Hainaut" "Wallonia" 63 2020-04-16 "Limburg" "Flanders" 35 2020-04-16 "Liège" "Wallonia" 19 2020-04-16 "Luxembourg" "Wallonia" 7 2020-04-16 "Namur" "Wallonia" 17 2020-04-16 "OostVlaanderen" "Flanders" 40 2020-04-16 "VlaamsBrabant" "Flanders" 21 2020-04-16 "BrabantWallon" "Wallonia" 2 2020-04-16 "WestVlaanderen" "Flanders" 22
"364" 2020-04-17 "Antwerpen" "Flanders" 48 2020-04-17 "Brussels" "Brussels" 47 2020-04-17 "Hainaut" "Wallonia" 48 2020-04-17 "Limburg" "Flanders" 31 2020-04-17 "Liège" "Wallonia" 26 2020-04-17 "Luxembourg" "Wallonia" 4 2020-04-17 "Namur" "Wallonia" 10 2020-04-17 "OostVlaanderen" "Flanders" 32 2020-04-17 "VlaamsBrabant" "Flanders" 21 2020-04-17 "BrabantWallon" "Wallonia" 2 2020-04-17 "WestVlaanderen" "Flanders" 34
"375" 2020-04-18 "Antwerpen" "Flanders" 21 2020-04-18 "Brussels" "Brussels" 40 2020-04-18 "Hainaut" "Wallonia" 42 2020-04-18 "Limburg" "Flanders" 41 2020-04-18 "Liège" "Wallonia" 37 2020-04-18 "Luxembourg" "Wallonia" 7 2020-04-18 "Namur" "Wallonia" 7 2020-04-18 "OostVlaanderen" "Flanders" 35 2020-04-18 "VlaamsBrabant" "Flanders" 13 2020-04-18 "BrabantWallon" "Wallonia" 1 2020-04-18 "WestVlaanderen" "Flanders" 21
"386" 2020-04-19 "Antwerpen" "Flanders" 38 2020-04-19 "Brussels" "Brussels" 36 2020-04-19 "Hainaut" "Wallonia" 30 2020-04-19 "Limburg" "Flanders" 27 2020-04-19 "Liège" "Wallonia" 25 2020-04-19 "Luxembourg" "Wallonia" 3 2020-04-19 "Namur" "Wallonia" 9 2020-04-19 "OostVlaanderen" "Flanders" 27 2020-04-19 "VlaamsBrabant" "Flanders" 13 2020-04-19 "BrabantWallon" "Wallonia" 2 2020-04-19 "WestVlaanderen" "Flanders" 22
"397" 2020-04-20 "Antwerpen" "Flanders" 18 2020-04-20 "Brussels" "Brussels" 18 2020-04-20 "Hainaut" "Wallonia" 46 2020-04-20 "Limburg" "Flanders" 12 2020-04-20 "Liège" "Wallonia" 12 2020-04-20 "Luxembourg" "Wallonia" 1 2020-04-20 "Namur" "Wallonia" 17 2020-04-20 "OostVlaanderen" "Flanders" 20 2020-04-20 "VlaamsBrabant" "Flanders" 6 2020-04-20 "BrabantWallon" "Wallonia" 0 2020-04-20 "WestVlaanderen" "Flanders" 22
"408" 2020-04-21 "Antwerpen" "Flanders" 39 2020-04-21 "Brussels" "Brussels" 27 2020-04-21 "Hainaut" "Wallonia" 53 2020-04-21 "Limburg" "Flanders" 22 2020-04-21 "Liège" "Wallonia" 31 2020-04-21 "Luxembourg" "Wallonia" 7 2020-04-21 "Namur" "Wallonia" 8 2020-04-21 "OostVlaanderen" "Flanders" 28 2020-04-21 "VlaamsBrabant" "Flanders" 17 2020-04-21 "BrabantWallon" "Wallonia" 3 2020-04-21 "WestVlaanderen" "Flanders" 28
"419" 2020-04-22 "Antwerpen" "Flanders" 19 2020-04-22 "Brussels" "Brussels" 44 2020-04-22 "Hainaut" "Wallonia" 49 2020-04-22 "Limburg" "Flanders" 14 2020-04-22 "Liège" "Wallonia" 23 2020-04-22 "Luxembourg" "Wallonia" 3 2020-04-22 "Namur" "Wallonia" 14 2020-04-22 "OostVlaanderen" "Flanders" 20 2020-04-22 "VlaamsBrabant" "Flanders" 7 2020-04-22 "BrabantWallon" "Wallonia" 0 2020-04-22 "WestVlaanderen" "Flanders" 18
"430" 2020-04-23 "Antwerpen" "Flanders" 35 2020-04-23 "Brussels" "Brussels" 36 2020-04-23 "Hainaut" "Wallonia" 34 2020-04-23 "Limburg" "Flanders" 12 2020-04-23 "Liège" "Wallonia" 21 2020-04-23 "Luxembourg" "Wallonia" 7 2020-04-23 "Namur" "Wallonia" 5 2020-04-23 "OostVlaanderen" "Flanders" 19 2020-04-23 "VlaamsBrabant" "Flanders" 9 2020-04-23 "BrabantWallon" "Wallonia" 3 2020-04-23 "WestVlaanderen" "Flanders" 29
"441" 2020-04-24 "Antwerpen" "Flanders" 30 2020-04-24 "Brussels" "Brussels" 36 2020-04-24 "Hainaut" "Wallonia" 41 2020-04-24 "Limburg" "Flanders" 22 2020-04-24 "Liège" "Wallonia" 24 2020-04-24 "Luxembourg" "Wallonia" 2 2020-04-24 "Namur" "Wallonia" 4 2020-04-24 "OostVlaanderen" "Flanders" 17 2020-04-24 "VlaamsBrabant" "Flanders" 14 2020-04-24 "BrabantWallon" "Wallonia" 2 2020-04-24 "WestVlaanderen" "Flanders" 25
"452" 2020-04-25 "Antwerpen" "Flanders" 35 2020-04-25 "Brussels" "Brussels" 30 2020-04-25 "Hainaut" "Wallonia" 27 2020-04-25 "Limburg" "Flanders" 28 2020-04-25 "Liège" "Wallonia" 4 2020-04-25 "Luxembourg" "Wallonia" 4 2020-04-25 "Namur" "Wallonia" 7 2020-04-25 "OostVlaanderen" "Flanders" 29 2020-04-25 "VlaamsBrabant" "Flanders" 16 2020-04-25 "BrabantWallon" "Wallonia" 4 2020-04-25 "WestVlaanderen" "Flanders" 18
"463" 2020-04-26 "Antwerpen" "Flanders" 12 2020-04-26 "Brussels" "Brussels" 26 2020-04-26 "Hainaut" "Wallonia" 22 2020-04-26 "Limburg" "Flanders" 16 2020-04-26 "Liège" "Wallonia" 11 2020-04-26 "Luxembourg" "Wallonia" 2 2020-04-26 "Namur" "Wallonia" 7 2020-04-26 "OostVlaanderen" "Flanders" 17 2020-04-26 "VlaamsBrabant" "Flanders" 4 2020-04-26 "BrabantWallon" "Wallonia" 1 2020-04-26 "WestVlaanderen" "Flanders" 9
"474" 2020-04-27 "Antwerpen" "Flanders" 21 2020-04-27 "Brussels" "Brussels" 24 2020-04-27 "Hainaut" "Wallonia" 23 2020-04-27 "Limburg" "Flanders" 7 2020-04-27 "Liège" "Wallonia" 11 2020-04-27 "Luxembourg" "Wallonia" 3 2020-04-27 "Namur" "Wallonia" 6 2020-04-27 "OostVlaanderen" "Flanders" 12 2020-04-27 "VlaamsBrabant" "Flanders" 5 2020-04-27 "BrabantWallon" "Wallonia" 0 2020-04-27 "WestVlaanderen" "Flanders" 11
"485" 2020-04-28 "Antwerpen" "Flanders" 36 2020-04-28 "Brussels" "Brussels" 25 2020-04-28 "Hainaut" "Wallonia" 20 2020-04-28 "Limburg" "Flanders" 14 2020-04-28 "Liège" "Wallonia" 19 2020-04-28 "Luxembourg" "Wallonia" 0 2020-04-28 "Namur" "Wallonia" 13 2020-04-28 "OostVlaanderen" "Flanders" 14 2020-04-28 "VlaamsBrabant" "Flanders" 13 2020-04-28 "BrabantWallon" "Wallonia" 0 2020-04-28 "WestVlaanderen" "Flanders" 20
